== Volcado de datos para la tabla boleta

|6|3|2023-07-25|02:43:23|66666666-6|SII|NULL|NULL|2351|0|8108.00|1541.00|0.00|12000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|5|2|2023-07-25|02:43:23|66666666-6|SII|NULL|NULL|2351|0|8108.00|1541.00|0.00|12000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|4|1|2023-07-25|02:18:14|66666666-6|SII|NULL|NULL|1959|0|6757.00|1284.00|0.00|10000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|7|4|2023-07-25|02:43:23|66666666-6|SII|NULL|NULL|2351|0|8108.00|1541.00|0.00|12000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|8|5|2023-07-25|02:43:23|66666666-6|SII|NULL|NULL|2351|0|8108.00|1541.00|0.00|12000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|9|6|2023-07-25|03:02:14|66666666-6|SII|NULL|NULL|640|0|16269.00|3091.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|10|7|2023-07-25|03:02:47|66666666-6|SII|NULL|NULL|0|0|8403.00|1597.00|0.00|10000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|11|8|2023-07-25|03:05:06|66666666-6|SII|NULL|NULL|3721|0|13680.00|2599.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|12|9|2023-07-25|03:08:05|66666666-6|SII|NULL|NULL|3918|0|13514.00|2568.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|13|10|2023-07-25|03:16:04|66666666-6|SII|NULL|NULL|3918|0|13514.00|2568.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|14|11|2023-07-25|03:19:20|66666666-6|SII|NULL|NULL|800|0|20336.00|3864.00|0.00|25000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|15|12|2023-07-25|03:41:55|66666666-6|SII|NULL|NULL|321|0|8134.00|1545.00|0.00|10000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|16|13|2023-07-25|09:40:31|66666666-6|SII|NULL|NULL|3918|0|13514.00|2568.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|17|14|2023-07-25|10:10:16|66666666-6|SII|NULL|NULL|196|0|676.00|128.00|0.00|1000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|18|15|2023-07-25|10:10:16|66666666-6|SII|NULL|NULL|196|0|676.00|128.00|0.00|1000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|19|16|2023-07-25|09:40:31|66666666-6|SII|NULL|NULL|3918|0|13514.00|2568.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|20|17|2023-07-25|09:40:31|66666666-6|SII|NULL|NULL|3918|0|13514.00|2568.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|21|18|2023-07-25|10:30:51|66666666-6|SII|NULL|NULL|2351|0|8108.00|1541.00|0.00|12000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|22|19|2023-07-26|11:25:16|66666666-6|SII|NULL|NULL|384|0|9761.00|1855.00|0.00|12000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|23|20|2023-07-26|11:43:18|66666666-6|SII|NULL|NULL|640|0|16269.00|3091.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|24|21|2023-07-26|12:13:44|66666666-6|SII|NULL|NULL|33|0|813.00|154.00|0.00|1000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|25|22|2023-07-26|01:21:21|66666666-6|SII|NULL|NULL|196|0|676.00|128.00|0.00|1000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|26|23|2023-07-30|11:19:41|66666666-6|SII|NULL|NULL|1860|0|6840.00|1300.00|0.00|10000.00|N|S|0.00|0|0|NULL|A|hm1|1|
|27|24|2023-07-30|11:21:25|66666666-6|SII|NULL|NULL|3918|0|13514.00|2568.00|0.00|20000.00|N|S|0.00|0|0|NULL|A|hm1|1|
